[[[ Short Speed Tests ]]]

Bulk results are in bytes/cycle, short results are in cycles/hash

Name                             Bulk     1-8 bytes    9-16 bytes  17-24 bytes  28-32 bytes  
falkhash1                        19.80       85.75        88.88        84.88        84.75  
falkhash2                        18.32       87.75        91.06        86.88        87.92  
FarmHash-32.NT                    7.78       55.80        56.94        57.30        73.88  
FarmHash-32.MK                    1.52       44.39        40.00        45.22        46.52  
FarmHash-32.SU                    5.99       44.22        40.22        43.71        44.25  
FarmHash-32.SA                    4.97       44.23        40.23        43.54        44.25  
FarmHash-32.CC                    1.92       44.46        40.42        45.18        47.97  
FarmHash-64.NA                    4.68       55.91        56.95        56.98        73.75  
FarmHash-64.UO                    5.11       55.29        56.83        57.15        74.62  
FarmHash-64.TE                    7.78       55.80        56.94        57.30        73.88  
FarmHash-128.CC.seed1             4.84       72.87        71.65        67.70        71.30  
FarmHash-128.CC.seed2             4.84       74.11        71.85        67.98        71.46  
FarmHash-128.CC.seed3             4.84       74.11        73.16        69.13        72.44  
FarmHash-128.CM.seed1             2.60       72.91        73.16        68.96        72.75  
FarmHash-128.CM.seed2             2.60       73.87        72.43        68.65        72.43  
FarmHash-128.CM.seed3             2.61       74.17        73.20        68.48        72.66  
FARSH-32                         15.81       64.23        64.31        65.67        68.58  
FARSH-32.tweaked                 13.92       64.41        64.45        65.10        68.67  
FARSH-64                          7.87      117.72       115.18       116.88       118.60  
FARSH-64.tweaked                  6.89      117.95       116.70       116.58       119.74  
FARSH-128                         3.94      230.92       229.76       238.17       238.22  
FARSH-128.tweaked                 3.45      233.09       234.45       231.89       238.38  
FARSH-256                         1.97      467.02       471.43       487.79       476.80  
FARSH-256.tweaked                 1.73      478.30       475.35       472.59       477.88  
fasthash-32                       2.00       42.30        46.45        50.33        54.58  
fasthash-64                       2.00       40.71        44.52        48.61        52.63  
Fletcher-32                       1.39       30.60        34.80        40.20        44.80  
Fletcher-64                       2.00       32.48        35.07        37.04        39.50  
fletcher2.64                      4.92       24.36        25.31        26.39        27.59  
